"dyad","partner","id","phase","time","timephase","timephase.r","ibi.basec","b.ibi.basec"
567,"A","567.A","goal",31,1,0,-13.3139895666667,-107.3978436
567,"A","567.A","goal",32,2,1,-37.6776265666666,-94.8868146
567,"A","567.A","goal",33,3,2,-4.4958085666666,-98.9493146
567,"A","567.A","goal",34,4,3,-112.488815566667,-109.8096086
567,"A","567.A","goal",35,5,4,-13.6776265666666,-75.6368146
567,"A","567.A","goal",36,6,5,-66.4048985666667,-92.1993146
567,"A","567.A","goal",37,7,6,92.8496464333333,-88.2618146
567,"A","567.A","goal",38,8,7,22.0496464333334,-105.6331386
567,"A","567.A","goal",39,9,8,25.9496464333333,-66.8409816
567,"A","567.A","goal",40,10,9,43.8496464333333,-94.8868146
567,"A","567.A","goal",41,11,10,-76.3670205666666,-15.2886006
567,"A","567.A","goal",42,12,11,-31.5867175666666,-55.4493146
567,"A","567.A","goal",43,13,12,-27.5867175666666,-39.7076476
567,"A","567.A","goal",44,14,13,-49.0336865666667,-31.2171716
567,"A","567.A","goal",45,15,14,-34.4958085666666,-37.1076476
567,"A","567.A","goal",46,16,15,-24.3139895666667,-51.4409816
567,"A","567.A","goal",47,17,16,30.2314644333334,-47.7076476
567,"A","567.A","goal",48,18,17,16.9496464333333,-59.6993146
567,"A","567.A","goal",49,19,18,118.949646433333,-15.2886006
567,"A","567.A","goal",50,20,19,133.494090433333,-47.6409816
567,"A","567.A","goal",51,21,20,52.4496464333333,-67.8409816
567,"A","567.A","goal",52,22,21,52.4496464333333,-46.2409815999999
567,"A","567.A","goal",53,23,22,-4.13217156666667,-28.3076476
567,"A","567.A","goal",54,24,23,15.5041914333334,-79.0118146
567,"A","567.A","goal",55,25,24,18.6496464333334,-78.7076476
567,"A","567.A","goal",56,26,25,-17.8594445666666,-64.7743146
567,"A","567.A","goal",57,27,26,-0.350353566666627,-72.3243146
567,"A","567.A","goal",58,28,27,-10.8594445666666,-70.6409816
567,"A","567.A","goal",59,29,28,16.4132824333334,-52.1993146
567,"A","567.A","goal",60,30,29,37.8496464333333,-45.8409816
567,"A","567.A","femalereceive",61,1,0,-103.334968566667,-91.0449026
567,"A","567.A","femalereceive",62,2,1,-48.6776265666666,-65.8409816
567,"A","567.A","femalereceive",63,3,2,8.95873743333334,-70.1368146
567,"A","567.A","femalereceive",64,4,3,26.1496464333334,-78.7618146
567,"A","567.A","femalereceive",65,5,4,54.4496464333333,-77.0409816
567,"A","567.A","femalereceive",66,6,5,75.0496464333334,45.4256854
567,"A","567.A","femalereceive",67,7,6,68.8274244333334,-10.4314575999999
567,"A","567.A","femalereceive",68,8,7,1.34964643333331,-27.2171716
567,"A","567.A","femalereceive",69,9,8,50.6860104333333,-30.4409816
567,"A","567.A","femalereceive",70,10,9,33.2496464333334,-26.8409816
567,"A","567.A","femalereceive",71,11,10,148.382979433333,1.56854240000007
567,"A","567.A","femalereceive",72,12,11,97.8274244333334,-29.6457435999999
567,"A","567.A","femalereceive",73,13,12,-7.55035356666667,-18.0409816
567,"A","567.A","femalereceive",74,14,13,-6.45035356666665,-38.5743146
567,"A","567.A","femalereceive",75,15,14,-5.7503535666666,-22.9743146
567,"A","567.A","femalereceive",76,16,15,144.827424433333,-30.6457435999999
567,"A","567.A","femalereceive",77,17,16,70.8274244333334,3.56854240000007
567,"A","567.A","femalereceive",78,18,17,28.1405554333334,9.2113994
567,"A","567.A","femalereceive",79,19,18,40.3496464333333,-9.36002859999996
567,"A","567.A","femalereceive",80,20,19,33.0496464333334,-35.5743146
567,"A","567.A","femalereceive",81,21,20,55.7496464333334,-16.9076476
567,"A","567.A","femalereceive",82,22,21,58.6496464333334,-22.7886006
567,"A","567.A","femalereceive",83,23,22,103.494090433333,-38.3743145999999
567,"A","567.A","femalereceive",84,24,23,34.6496464333334,-28.5743146
567,"A","567.A","femalereceive",85,25,24,-12.6776265666666,-32.9743146
567,"A","567.A","femalereceive",86,26,25,37.9496464333333,-6.14574359999995
567,"A","567.A","femalereceive",87,27,26,-2.85944456666664,-33.1076476
567,"A","567.A","femalereceive",88,28,27,36.7496464333334,4.13997140000004
567,"A","567.A","femalereceive",89,29,28,4.41328243333339,-19.3600286
567,"A","567.A","femalereceive",90,30,29,-12.3139895666667,-21.0028856
567,"A","567.A","malereceive",91,1,0,65.6496464333334,-31.1743146
567,"A","567.A","malereceive",92,2,1,-1.15035356666669,-46.0409816
567,"A","567.A","malereceive",93,3,2,-8.35035356666663,-26.7886006
567,"A","567.A","malereceive",94,4,3,34.5496464333334,3.28282839999997
567,"A","567.A","malereceive",95,5,4,60.0496464333334,14.3542564000001
567,"A","567.A","malereceive",96,6,5,63.0496464333334,-18.7886006
567,"A","567.A","malereceive",97,7,6,132.716313433333,-16.7886006
567,"A","567.A","malereceive",98,8,7,188.827424433333,-29.6409816
567,"A","567.A","malereceive",99,9,8,91.9496464333333,-33.3076476
567,"A","567.A","malereceive",100,10,9,60.2496464333334,-18.9314575999999
567,"A","567.A","malereceive",101,11,10,41.8496464333333,-30.1076476
567,"A","567.A","malereceive",102,12,11,14.0496464333334,-13.7171716
567,"A","567.A","malereceive",103,13,12,30.0496464333334,-9.36002859999996
567,"A","567.A","malereceive",104,14,13,122.716313433333,-1.86002859999996
567,"A","567.A","malereceive",105,15,14,77.4496464333333,-32.7743146
567,"A","567.A","malereceive",106,16,15,33.3496464333333,33.2718394
567,"A","567.A","malereceive",107,17,16,12.8496464333333,-3.71717160000003
567,"A","567.A","malereceive",108,18,17,-5.95035356666665,7.2113994
567,"A","567.A","malereceive",109,19,18,9.5041914333334,-13.6457435999999
567,"A","567.A","malereceive",110,20,19,63.5496464333334,-25.8600286
567,"A","567.A","malereceive",111,21,20,58.4496464333333,0.0685424000000694
567,"A","567.A","malereceive",112,22,21,177.049646433333,-22.5028856
567,"A","567.A","malereceive",113,23,22,62.2718684333333,6.06854240000007
567,"A","567.A","malereceive",114,24,23,104.827424433333,-9.36002859999996
567,"A","567.A","malereceive",115,25,24,-17.8594445666666,-2.50288560000001
567,"A","567.A","malereceive",116,26,25,82.3496464333333,-8.14574359999995
567,"A","567.A","malereceive",117,27,26,148.049646433333,27.7113994
567,"A","567.A","malereceive",118,28,27,97.0496464333334,-2.7886006
567,"A","567.A","malereceive",119,29,28,131.827424433333,28.5026084
567,"A","567.A","malereceive",120,30,29,148.271868433333,2.99711439999999
567,"B","567.B","goal",31,1,0,-107.3978436,-13.3139895666667
567,"B","567.B","goal",32,2,1,-94.8868146,-37.6776265666666
567,"B","567.B","goal",33,3,2,-98.9493146,-4.4958085666666
567,"B","567.B","goal",34,4,3,-109.8096086,-112.488815566667
567,"B","567.B","goal",35,5,4,-75.6368146,-13.6776265666666
567,"B","567.B","goal",36,6,5,-92.1993146,-66.4048985666667
567,"B","567.B","goal",37,7,6,-88.2618146,92.8496464333333
567,"B","567.B","goal",38,8,7,-105.6331386,22.0496464333334
567,"B","567.B","goal",39,9,8,-66.8409816,25.9496464333333
567,"B","567.B","goal",40,10,9,-94.8868146,43.8496464333333
567,"B","567.B","goal",41,11,10,-15.2886006,-76.3670205666666
567,"B","567.B","goal",42,12,11,-55.4493146,-31.5867175666666
567,"B","567.B","goal",43,13,12,-39.7076476,-27.5867175666666
567,"B","567.B","goal",44,14,13,-31.2171716,-49.0336865666667
567,"B","567.B","goal",45,15,14,-37.1076476,-34.4958085666666
567,"B","567.B","goal",46,16,15,-51.4409816,-24.3139895666667
567,"B","567.B","goal",47,17,16,-47.7076476,30.2314644333334
567,"B","567.B","goal",48,18,17,-59.6993146,16.9496464333333
